,country,date,accumulated_confirmed,increase_of_confirmed
0,Afghanistan,2020-03-01,1,0.0
1,Afghanistan,2020-03-02,1,0.0
2,Afghanistan,2020-03-03,1,0.0
3,Afghanistan,2020-03-04,1,0.0
4,Afghanistan,2020-03-05,1,0.0
5,Afghanistan,2020-03-06,1,0.0
6,Afghanistan,2020-03-07,1,0.0
7,Afghanistan,2020-03-08,4,3.0
8,Afghanistan,2020-03-09,4,0.0
9,Afghanistan,2020-03-10,5,1.0
10,Afghanistan,2020-03-11,7,2.0
11,Afghanistan,2020-03-12,7,0.0
12,Afghanistan,2020-03-13,7,0.0
13,Afghanistan,2020-03-14,11,4.0
14,Afghanistan,2020-03-15,16,5.0
15,Afghanistan,2020-03-16,21,5.0
16,Afghanistan,2020-03-17,22,1.0
17,Afghanistan,2020-03-18,22,0.0
18,Afghanistan,2020-03-19,22,0.0
19,Afghanistan,2020-03-20,24,2.0
20,Afghanistan,2020-03-21,24,0.0
21,Afghanistan,2020-03-22,40,16.0
22,Afghanistan,2020-03-23,40,0.0
23,Afghanistan,2020-03-24,74,34.0
24,Afghanistan,2020-03-25,84,10.0
25,Afghanistan,2020-03-26,94,10.0
26,Afghanistan,2020-03-27,110,16.0
27,Albania,2020-03-01,0,0.0
28,Albania,2020-03-02,0,0.0
29,Albania,2020-03-03,0,0.0
30,Albania,2020-03-04,0,0.0
31,Albania,2020-03-05,0,0.0
32,Albania,2020-03-06,0,0.0
33,Albania,2020-03-07,0,0.0
34,Albania,2020-03-08,0,0.0
35,Albania,2020-03-09,2,2.0
36,Albania,2020-03-10,10,8.0
37,Albania,2020-03-11,12,2.0
38,Albania,2020-03-12,23,11.0
39,Albania,2020-03-13,33,10.0
40,Albania,2020-03-14,38,5.0
41,Albania,2020-03-15,42,4.0
42,Albania,2020-03-16,51,9.0
43,Albania,2020-03-17,55,4.0
44,Albania,2020-03-18,59,4.0
45,Albania,2020-03-19,64,5.0
46,Albania,2020-03-20,70,6.0
47,Albania,2020-03-21,76,6.0
48,Albania,2020-03-22,89,13.0
49,Albania,2020-03-23,104,15.0
50,Albania,2020-03-24,123,19.0
51,Albania,2020-03-25,146,23.0
52,Albania,2020-03-26,174,28.0
53,Albania,2020-03-27,186,12.0
54,Algeria,2020-03-01,1,0.0
55,Algeria,2020-03-02,3,2.0
56,Algeria,2020-03-03,5,2.0
57,Algeria,2020-03-04,12,7.0
58,Algeria,2020-03-05,12,0.0
59,Algeria,2020-03-06,17,5.0
60,Algeria,2020-03-07,17,0.0
61,Algeria,2020-03-08,19,2.0
62,Algeria,2020-03-09,20,1.0
63,Algeria,2020-03-10,20,0.0
64,Algeria,2020-03-11,20,0.0
65,Algeria,2020-03-12,24,4.0
66,Algeria,2020-03-13,26,2.0
67,Algeria,2020-03-14,37,11.0
68,Algeria,2020-03-15,48,11.0
69,Algeria,2020-03-16,54,6.0
70,Algeria,2020-03-17,60,6.0
71,Algeria,2020-03-18,74,14.0
72,Algeria,2020-03-19,87,13.0
73,Algeria,2020-03-20,90,3.0
74,Algeria,2020-03-21,139,49.0
75,Algeria,2020-03-22,201,62.0
76,Algeria,2020-03-23,230,29.0
77,Algeria,2020-03-24,264,34.0
78,Algeria,2020-03-25,302,38.0
79,Algeria,2020-03-26,367,65.0
80,Algeria,2020-03-27,409,42.0
81,Andorra,2020-03-01,0,0.0
82,Andorra,2020-03-02,1,1.0
83,Andorra,2020-03-03,1,0.0
84,Andorra,2020-03-04,1,0.0
85,Andorra,2020-03-05,1,0.0
86,Andorra,2020-03-06,1,0.0
87,Andorra,2020-03-07,1,0.0
88,Andorra,2020-03-08,1,0.0
89,Andorra,2020-03-09,1,0.0
90,Andorra,2020-03-10,1,0.0
91,Andorra,2020-03-11,1,0.0
92,Andorra,2020-03-12,1,0.0
93,Andorra,2020-03-13,1,0.0
94,Andorra,2020-03-14,1,0.0
95,Andorra,2020-03-15,1,0.0
96,Andorra,2020-03-16,2,1.0
97,Andorra,2020-03-17,39,37.0
98,Andorra,2020-03-18,39,0.0
99,Andorra,2020-03-19,53,14.0
100,Andorra,2020-03-20,75,22.0
101,Andorra,2020-03-21,88,13.0
102,Andorra,2020-03-22,113,25.0
103,Andorra,2020-03-23,133,20.0
104,Andorra,2020-03-24,164,31.0
105,Andorra,2020-03-25,188,24.0
106,Andorra,2020-03-26,224,36.0
107,Andorra,2020-03-27,267,43.0
108,Angola,2020-03-01,0,0.0
109,Angola,2020-03-02,0,0.0
110,Angola,2020-03-03,0,0.0
111,Angola,2020-03-04,0,0.0
112,Angola,2020-03-05,0,0.0
113,Angola,2020-03-06,0,0.0
114,Angola,2020-03-07,0,0.0
115,Angola,2020-03-08,0,0.0
116,Angola,2020-03-09,0,0.0
117,Angola,2020-03-10,0,0.0
118,Angola,2020-03-11,0,0.0
119,Angola,2020-03-12,0,0.0
120,Angola,2020-03-13,0,0.0
121,Angola,2020-03-14,0,0.0
122,Angola,2020-03-15,0,0.0
123,Angola,2020-03-16,0,0.0
124,Angola,2020-03-17,0,0.0
125,Angola,2020-03-18,0,0.0
126,Angola,2020-03-19,0,0.0
127,Angola,2020-03-20,1,1.0
128,Angola,2020-03-21,2,1.0
129,Angola,2020-03-22,2,0.0
130,Angola,2020-03-23,3,1.0
131,Angola,2020-03-24,3,0.0
132,Angola,2020-03-25,3,0.0
133,Angola,2020-03-26,4,1.0
134,Angola,2020-03-27,4,0.0
135,Antigua and Barbuda,2020-03-01,0,0.0
136,Antigua and Barbuda,2020-03-02,0,0.0
137,Antigua and Barbuda,2020-03-03,0,0.0
138,Antigua and Barbuda,2020-03-04,0,0.0
139,Antigua and Barbuda,2020-03-05,0,0.0
140,Antigua and Barbuda,2020-03-06,0,0.0
141,Antigua and Barbuda,2020-03-07,0,0.0
142,Antigua and Barbuda,2020-03-08,0,0.0
143,Antigua and Barbuda,2020-03-09,0,0.0
144,Antigua and Barbuda,2020-03-10,0,0.0
145,Antigua and Barbuda,2020-03-11,0,0.0
146,Antigua and Barbuda,2020-03-12,0,0.0
147,Antigua and Barbuda,2020-03-13,1,1.0
148,Antigua and Barbuda,2020-03-14,1,0.0
149,Antigua and Barbuda,2020-03-15,1,0.0
150,Antigua and Barbuda,2020-03-16,1,0.0
151,Antigua and Barbuda,2020-03-17,1,0.0
152,Antigua and Barbuda,2020-03-18,1,0.0
153,Antigua and Barbuda,2020-03-19,1,0.0
154,Antigua and Barbuda,2020-03-20,1,0.0
155,Antigua and Barbuda,2020-03-21,1,0.0
156,Antigua and Barbuda,2020-03-22,1,0.0
157,Antigua and Barbuda,2020-03-23,3,2.0
158,Antigua and Barbuda,2020-03-24,3,0.0
159,Antigua and Barbuda,2020-03-25,3,0.0
160,Antigua and Barbuda,2020-03-26,7,4.0
161,Antigua and Barbuda,2020-03-27,7,0.0
162,Argentina,2020-03-01,0,0.0
163,Argentina,2020-03-02,0,0.0
164,Argentina,2020-03-03,1,1.0
165,Argentina,2020-03-04,1,0.0
166,Argentina,2020-03-05,1,0.0
167,Argentina,2020-03-06,2,1.0
168,Argentina,2020-03-07,8,6.0
169,Argentina,2020-03-08,12,4.0
170,Argentina,2020-03-09,12,0.0
171,Argentina,2020-03-10,17,5.0
172,Argentina,2020-03-11,19,2.0
173,Argentina,2020-03-12,19,0.0
174,Argentina,2020-03-13,31,12.0
175,Argentina,2020-03-14,34,3.0
176,Argentina,2020-03-15,45,11.0
177,Argentina,2020-03-16,56,11.0
178,Argentina,2020-03-17,68,12.0
179,Argentina,2020-03-18,79,11.0
180,Argentina,2020-03-19,97,18.0
